County,# Total households,% Households w/ cohabiting couples,% Households w/ 1+ people aged >=65,# Total population >=25,% Educated <9th grade,% Educated 9th-12th w/o diploma,% Educated w/ highschool diploma or equivalent,% Educated w/ some college,% Educated w/ associate's degree,% Educated w/ bachelor's degree,% Educated w/ grad/professional degree,% Educated w/ diploma or higher,% Educated w/ bachelors or higher,# Total civilian population,% Population w/ disablilty,% Population <18 w/ disability,% Population 18-64 w/ disability,% Population >65 w/ disability,# Population foreign-born,% Foreign-born not citizen,% Foreign-born entered >=2010,% Foreign-born entered <2010,# Total population >=5,% Population speaks english poorly,% Households w/ a computer,% Households w/ internet,# Total civilian labor force,% Workers worked from home,% Workers unpaid familly,% Population no health insurance,% Population in poverty,# Total occupied housing units,% Households no vehicle,% Households incomplete plumbing,% Households incomplete kitchen,% Households no telephone,% Households w/ 1.51 or more occupants/room,# Total population,% Population <18,% Population >=18,% Population >=21,% Population >=65,% Population white,% Population minority,% Population wears mask never,% Population wears mask rarely,% Population wears mask sometimes,% Population wears mask frequently,% Population wears mask always,Latitude,Longitude,% Testing rate last 2 weeks,% Testing rate,% Death rate last 2 weeks (per 100k),% Positive tests,# Current total COVID-19 hospitalizations,# Current COVID-19 ICU hospitalizations,# Total deaths,# Total cases,# Total cases last 2 weeks,Avg # of cases last 2 weeks (per 100k),# Total tests,# Total tests last 2 weeks,# Total positive tests last 2 weeks,% Positive tests last 2 weeks,# Total deaths last 2 weeks,% Infection rate,% Death rate (per 10k),% Infection rate last 2 weeks,# Total positive tests,% Population one or more doses,% Population fully vaccinated,% Vaccinated 65+ fully vaccinated,% Vaccinated 65+ one or more doses,% Vaccinated <65 fully vaccinated,% Vaccinated <65 one or more doses,% Vaccinated minority fully vaccinated,% Vaccinated minority one or more doses,% Vaccinated white fully vaccinated,% Vaccinated white one or more doses
Barnstable,94323,6.0,46.7,165855,1.4,3.1,23.7,18.6,9.7,24.9,18.6,95.5,43.4,211206,13.3,3.2,9.3,26.2,17093,44.0,19.9,80.1,205651,3.2,93.5,87.7,110233,7.3,0.2,3.3,6.4,94323,4.7,0.2,0.6,1.4,0.4,213496,15.3,84.7,81.9,29.8,91.6,8.4,1.9,0.7,2.6,10.9,83.9,41.6990958,-70.3209113,7.374377037508899,179.15323940495372,1.405178551354592,0.11033112409636978,10,1,463.0,13620.0,347.0,11.4,382485.0,15744.0,422.0,0.0268,3.0,6.379510623149848,21.686588975905874,0.16253231910668117,422.0,66.0324217505529,49.68395488103868,81.73099587507366,91.45550972304066,35.055109849834906,54.4272812249921,24.831809956850552,41.12188558437341,48.372902116796965,61.97176574731219
Berkshire,54813,8.2,37.3,92628,2.5,6.1,29.4,18.7,9.7,18.7,14.9,91.3,33.6,124293,15.8,6.2,13.1,30.4,7657,41.3,22.4,77.6,121074,2.5,88.5,82.4,67214,5.9,0.2,3.0,10.9,54813,9.4,0.2,0.6,1.6,0.2,126425,17.1,82.9,78.1,22.6,90.6,9.4,3.0,0.4,4.9,8.2,83.4,42.311782,-73.1821623,14.78267747676488,296.1993276646233,0.7909827961241842,0.07717574171495714,2,0,285.0,6375.0,267.0,15.1,374470.0,18689.0,290.0,0.0155,1.0,5.042515325291675,22.543009689539254,0.2111924065651572,289.0,55.96323738956968,39.523764288654576,72.91729575574568,85.98221774869988,29.21186502139475,46.69339715496431,16.700718381335268,33.012588150003296,39.27984542319013,54.03326290698305
Plymouth,187460,5.9,33.7,359125,3.0,4.1,27.8,18.1,9.4,23.7,13.9,92.9,37.6,508430,11.1,3.6,8.8,28.6,49207,38.4,22.3,77.7,487969,5.0,92.9,88.2,281722,4.9,0.1,2.2,7.4,187460,6.0,0.2,0.5,1.0,0.3,515303,21.7,78.3,74.5,17.6,82.9,17.1,1.4,1.7,4.5,11.2,81.2,41.91204060000001,-70.71684690000002,9.387292524980447,205.67336110987128,3.2990298911514193,0.13624685212215795,24,7,1424.0,48157.0,1268.0,17.2,1059841.0,48373.0,1446.0,0.0299,17.0,9.345375439304641,27.63422685293895,0.2460688177635294,1444.0,51.843793119133906,37.078853997664936,74.31443399220005,86.15356269128802,28.61751741623344,44.047311677889816,23.306670505017273,35.42729067280803,37.08450504057389,50.74263134964365
Norfolk,265300,5.1,31.0,491428,2.6,3.5,19.2,13.7,7.4,28.6,25.0,93.9,53.6,692118,9.6,3.3,6.9,28.8,128815,40.6,26.3,73.7,662934,8.2,93.7,90.1,392987,5.6,0.2,1.8,6.3,265300,9.4,0.3,0.7,1.1,0.5,700437,21.1,78.9,75.2,16.6,77.6,22.4,2.0,1.5,3.5,12.5,80.5,42.17668,-71.1448516,12.85483205484576,273.1750321584953,1.713216177900368,0.07760976555579306,15,4,1778.0,54015.0,1253.0,12.5,1913419.0,90040.0,1486.0,0.0165,12.0,7.711614320774031,25.38415303589045,0.17888832257576343,1485.0,59.54288878293369,41.199434553480415,77.48426651508385,88.55982784522311,33.6521733255411,53.50735251890914,30.901807041785833,50.0819435071821,41.274508506240934,57.30995921315617
Suffolk,309844,7.6,22.8,553283,7.9,5.7,22.1,13.4,4.7,25.3,20.7,86.3,46.1,790089,12.0,5.2,9.0,40.9,235705,52.3,29.6,70.4,754314,18.9,90.6,84.9,471125,3.2,0.1,3.8,18.2,309844,32.5,0.4,0.8,1.8,1.4,796605,16.8,83.2,76.9,11.8,55.2,44.8,2.0,0.7,4.9,13.6,78.8,42.352286600000006,-71.0504229,24.199195335203772,518.8306626245128,1.2553272952090435,0.05318130931028584,108,37,1823.0,91321.0,1805.0,15.9,4133031.0,192772.0,2198.0,0.0114,10.0,11.463774392578504,22.884616591660862,0.2265865767852323,2198.0,54.00249264127335,37.21459072139608,72.6427160822274,81.98794625955448,32.350734841695065,50.16042615480141,28.65469321707923,42.75637939879633,41.2018454889129,56.912389274831746
Middlesex,604384,6.1,28.1,1123325,3.3,3.3,19.0,12.3,5.8,27.5,28.8,93.4,56.3,1586008,9.3,3.6,6.4,29.7,342181,50.2,28.5,71.5,1514413,9.2,93.1,89.7,923590,5.8,0.1,2.5,7.4,604384,10.5,0.3,0.8,1.3,0.6,1600842,20.0,80.0,75.9,15.0,76.7,23.3,2.3,1.1,4.1,12.7,79.8,42.467206,-71.2874209,17.974291029345807,350.64903344614896,1.4992110401901,0.06386575400693029,61,17,3736.0,132967.0,3008.0,13.2,5613337.0,287740.0,3597.0,0.0125,24.0,8.306066432539875,23.33771852562589,0.1879011170371592,3585.0,59.27555987597047,40.29274705220836,79.99843404388592,88.98702213870456,32.89480594506591,53.73973705862787,27.497532472238976,47.663256539747984,41.061627879939266,57.098517971820016
Bristol,217912,7.9,30.1,392815,7.5,6.8,29.9,18.0,9.1,18.3,10.4,85.7,28.7,555111,14.0,5.3,11.4,35.5,71523,35.6,14.8,85.2,531420,7.6,88.3,82.1,300775,3.5,0.2,2.8,11.3,217912,10.6,0.3,0.8,1.6,0.4,561037,20.8,79.2,75.2,16.6,84.1,15.9,1.6,2.0,5.6,16.1,74.7,41.7938406,-71.1448516,10.435318882711837,226.33248787513125,5.881965004090639,0.15183385847792857,57,9,1710.0,65256.0,1676.0,21.0,1269809.0,58546.0,1926.0,0.0329,33.0,11.631318433543598,30.47927320301513,0.29873252566230035,1928.0,45.48574648912785,31.71371165343526,69.56073187753492,81.22667367931304,23.794336072668937,38.00706456521601,16.17958900412538,28.882484481628563,31.66723293139222,44.11736424070311
Hampden,179423,7.6,31.1,317450,5.6,8.6,30.7,18.6,9.4,16.5,10.6,85.8,27.1,462644,15.8,7.2,13.2,37.5,39963,38.1,18.9,81.1,441817,9.1,86.4,78.9,231192,3.9,0.2,3.1,16.4,179423,13.2,0.2,0.9,1.7,0.7,467871,21.7,78.3,73.6,16.5,81.4,18.6,1.3,1.7,5.5,13.0,78.6,42.1172314,-72.6624209,12.194173180214204,234.16198054591973,3.206011913540271,0.18939808831153657,63,16,1500.0,51056.0,1713.0,26.0,1095576.0,57053.0,2077.0,0.0364,15.0,10.912409617180804,32.06011913540271,0.3661265605262989,2075.0,41.94861163916425,28.59090880127101,65.25793333906655,78.84811479538558,20.926529878534193,34.235638530083975,14.199654813798599,23.65355254132277,31.225549396670072,44.066997663752375
Essex,294202,6.1,31.5,542962,5.7,5.0,25.1,16.2,8.2,23.7,16.2,89.3,39.9,776718,11.8,4.7,9.0,32.1,135677,45.5,25.6,74.4,739518,11.1,91.1,85.8,429571,5.4,0.1,3.0,10.4,294202,10.6,0.5,1.0,1.5,0.8,783676,21.4,78.6,74.5,16.7,79.9,20.1,2.3,1.0,4.7,13.1,78.8,42.7051144,-70.90712359999998,12.283009815280804,273.08773013337145,2.424471337644639,0.11620827401041903,39,5,2362.0,95948.0,2025.0,18.2,2140123.0,96259.0,2483.0,0.0258,19.0,12.2433250475962,30.140006839561245,0.25839760309107335,2487.0,53.93411988539315,40.40004467809807,79.35769958163792,87.34669608573557,32.12551676077533,46.837355584668124,19.402504311803536,29.40833493029761,44.7365893178527,57.63226719686521
Franklin,30569,8.7,35.0,53146,1.9,4.8,28.5,17.3,10.3,20.4,16.9,93.3,37.3,69805,15.6,5.8,13.0,31.7,3584,46.8,24.2,75.8,67515,2.0,89.5,81.9,38637,7.6,0.4,2.1,9.7,30569,7.3,0.3,0.6,1.3,0.7,70577,17.5,82.5,79.6,21.1,92.8,7.2,4.3,1.1,2.8,15.6,76.2,42.530599,-72.61511690000002,12.036499142780226,282.01822123354634,1.4168921886733639,0.060289389067524124,1,0,113.0,2491.0,98.0,9.8,199040.0,8495.0,120.0,0.0141,1.0,3.5294784419853493,16.01088173200901,0.13885543448998966,120.0,56.02627396373968,38.18304569813073,73.11868214152003,87.09596905029328,28.016560440159065,46.984801438143485,7.710538789698214,21.583188497392953,36.56949384192461,51.58805348905835
Worcester,309951,7.5,28.5,568517,3.2,6.1,27.8,17.5,9.1,22.0,14.4,90.7,36.4,813041,12.1,4.5,10.0,31.7,100071,45.5,24.7,75.3,780275,7.6,91.0,85.6,444046,5.7,0.2,2.5,10.1,309951,9.4,0.4,0.8,1.3,0.6,824772,21.3,78.7,74.4,15.3,83.7,16.3,2.0,2.7,4.3,14.2,76.8,42.4096528,-71.85713309999998,13.943853574078654,271.4362272240086,1.2124562909507113,0.08661160568715298,57,20,2198.0,75756.0,1688.0,14.4,2238730.0,115005.0,1944.0,0.0169,10.0,9.185083877726207,26.649789275096634,0.20466262191248005,1939.0,50.47337263999122,34.1250295038349,75.2360328497782,87.45129480877593,26.34735716979153,43.47762603165782,24.942581079475705,43.034490951570106,33.75382821621231,47.973343515720636
Hampshire,58838,7.6,32.4,100133,1.5,3.8,22.6,14.7,9.1,23.9,24.5,94.7,48.3,159678,10.7,5.3,8.0,27.0,14213,54.0,34.7,65.3,155497,3.3,92.9,87.8,88986,7.0,0.1,2.2,12.2,58838,7.5,0.2,0.4,1.4,0.4,161032,14.8,85.2,72.0,16.6,87.6,12.4,1.1,0.6,1.7,10.9,85.7,42.3471357,-72.6624209,38.61779025286899,533.3480302051767,0.6209945849272194,0.0266632202416922,4,1,294.0,8994.0,201.0,8.8,858861.0,62187.0,230.0,0.0037,1.0,5.585225296835412,18.257240796860252,0.12481991157037112,229.0,52.70978327833454,35.47757452285246,77.92734968601465,91.8433195711758,26.42243931320308,44.36204854943754,15.066918770622475,31.364698031364696,35.77367881715708,50.55848338457034
Dukes and Nantucket,10478,6.0,37.4,21016,1.0,3.8,22.1,18.3,6.7,28.3,19.7,95.1,48.0,28327,10.5,3.0,7.1,27.5,3220,50.6,18.4,81.6,27140,3.2,93.4,83.9,15652,10.2,0.3,4.9,8.1,10478,4.3,0.9,1.1,1.2,1.0,28480,19.3,80.7,77.1,20.2,87.8,12.2,1.1,0.6,3.5,15.8,79.0,41.360015,-70.357732,9.476825842696629,272.64747191011236,0.0,0.20991629104958145,0,0,5.0,2783.0,154.0,38.2,77650.0,2699.0,163.0,0.0604,0.0,9.771769662921347,1.7556179775280898,0.5407303370786517,163.0,73.0459165790396,49.851033999298984,97.7425259304454,100.0,41.81929806610048,68.1571677069477,27.223634053367217,56.480304955527316,56.61719612412609,72.43959278793082
